unique words	median word length	english percent	full text path	original path
1218	6	0.9671593	3/3df796cb.txt	https://onbeing.org/programs/elizabeth-alexander-words-that-shimmer
1278	6	0.96165884	b/b8971847.txt	https://onbeing.org/programs/elizabeth-gilbert-choosing-curiosity-over-fear
1200	7	0.9583333	8/8ca76456.txt	https://onbeing.org/programs/ellen-davis-wendell-berry-the-poetry-of-creatures
1122	7	0.9581105	a/a3a09b13.txt	https://onbeing.org/programs/ellen-langer-science-of-mindlessness-and-mindfulness
1371	6	0.9438366	7/77d580ec.txt	https://onbeing.org/programs/esther-sternberg-stress-and-the-balance-within
1216	7	0.9416118	a/affe5a20.txt	https://onbeing.org/programs/enrique-martinez-celaya-the-whisper-of-the-order-of-things-jun2017
1251	6	0.93605113	6/6510e72.txt	https://onbeing.org/programs/ernie-lapointe-cedric-good-house-reimagining-sitting-bull-tatanka-iyotake-3
1436	7	0.9630919	f/fd692fb3.txt	https://onbeing.org/programs/elliot-dorff-and-luke-timothy-johnson-marriage-family-and-divorce
973	6	0.967112	6/654a4e09.txt	https://onbeing.org/programs/eugene-peterson-entering-into-what-is-there
1315	6	0.95361215	d/df97a555.txt	https://onbeing.org/programs/esther-sternberg-the-science-of-healing-places
1147	7	0.9677419	d/d20b92ec.txt	https://onbeing.org/programs/eula-biss-lets-talk-about-whiteness-jan2017
1488	6	0.95228493	6/623a3b07.txt	https://onbeing.org/programs/evolving-faith
1167	6	0.9640103	b/b74f7613.txt	https://onbeing.org/programs/eve-ensler-the-body-after-cancer
1240	6	0.9564516	e/e7f3e44e.txt	https://onbeing.org/programs/fatemeh-keshavarz-the-ecstatic-faith-of-rumi
1443	7	0.952876	d/d897f1dc.txt	https://onbeing.org/programs/freeman-dyson-and-paul-davies-einsteins-god
1265	7	0.96284586	4/4a1c572c.txt	https://onbeing.org/programs/frank-wilczek-why-is-the-world-so-beautiful
1353	7	0.9541759	6/65d07791.txt	https://onbeing.org/programs/george-f-r-ellis-science-and-hope
1076	6	0.94423795	d/d02a85be.txt	https://onbeing.org/programs/glenn-beck-what-you-do-will-be-a-pivot-point-may2017
1238	6	0.9353796	8/826cd388.txt	https://onbeing.org/programs/grace-lee-boggs-a-century-in-the-world
1129	6	0.9574845	5/5c6becab.txt	https://onbeing.org/programs/gordon-hempton-silence-and-the-presence-of-everything
1089	6	0.93939394	c/c98e4ae8.txt	https://onbeing.org/programs/gustavo-santaolalla-how-movie-music-moves-us
1366	6	0.94363105	e/e22660d8.txt	https://onbeing.org/programs/guy-consolmagno-george-coyne-asteroids-stars-and-the-love-of-god
1502	7	0.93541944	2/20871963.txt	https://onbeing.org/programs/greg-epstein-exploring-a-new-humanism
1108	6	0.9395307	7/77615fb0.txt	https://onbeing.org/programs/gwendolyn-zoharah-simmons-and-lucas-johnson-the-movement-remembered-forward
1127	7	0.9414374	1/19263c68.txt	https://onbeing.org/programs/frances-kissling-listening-beyond-life-and-choice
1424	7	0.9466292	8/8194ff21.txt	https://onbeing.org/programs/harvey-cox-jr-beyond-the-atheism-religion-divide
1022	7	0.93933463	1/1b92431f.txt	https://onbeing.org/programs/fr-alberto-ambrosio-and-metropolitan-elpidophoros-lambriniadis-spiritual-boundaries-in-modern-turkey
1320	7	0.95454544	a/a6ea6432.txt	https://onbeing.org/programs/heather-mcghee-and-matt-kibbe-repairing-the-breach-apr2017
1240	7	0.96370965	e/eb9eeaaf.txt	https://onbeing.org/programs/hendrik-hertzberg-pankaj-mishra-serene-jones-remembering-forward-ten-years-after-911
1314	6	0.94596654	4/40afb898.txt	https://onbeing.org/programs/greg-boyle-the-calling-of-delight-gangs-service-and-kinship
1158	6	0.94905007	8/820035b3.txt	https://onbeing.org/programs/his-holiness-the-14th-dalai-lama-of-tibet-jonathan-sacks-katharine-jefferts-schori-seyyed-hossein-nasr-pursuing-happiness
1196	6	0.94481605	8/8942d034.txt	https://onbeing.org/programs/helen-fisher-this-is-your-brain-on-sex-apr2017
1419	6	0.9457364	1/1e0da02c.txt	https://onbeing.org/programs/humor-as-a-tool-for-survival-jun2017
1224	6	0.9362745	5/5e15ea4a.txt	https://onbeing.org/programs/indigo-girls-music-and-finding-god-in-church-and-smoky-bars
1327	7	0.9547852	f/f7a8fdf.txt	https://onbeing.org/programs/imani-perry-the-fabric-of-our-identity
1335	7	0.9565543	4/41e06224.txt	https://onbeing.org/programs/ingrid-jordt-burma-buddhism-and-power
1315	7	0.9520913	6/641f665d.txt	https://onbeing.org/programs/ingrid-mattson-a-new-voice-for-islam
1282	7	0.9453978	f/fcbd4573.txt	https://onbeing.org/programs/isabel-mukonyora-sacred-wilderness-an-african-story
1250	7	0.952	7/7ff82bf1.txt	https://onbeing.org/programs/ira-byock-contemplating-mortality
1292	7	0.9736842	a/a407ab23.txt	https://onbeing.org/programs/jacob-needleman-the-inward-work-of-democracy
1357	7	0.935888	6/6092af.txt	https://onbeing.org/programs/jacqueline-novogratz-a-different-kind-of-capitalism
1294	7	0.94899535	5/5d07a5a4.txt	https://onbeing.org/programs/isabel-wilkerson-the-heart-is-the-last-frontier
1178	7	0.95925295	3/35517323.txt	https://onbeing.org/programs/james-doty-the-magic-shop-of-the-brain
1560	7	0.9474359	6/6e62b7b5.txt	https://onbeing.org/programs/james-moore-evolution-and-wonder-understanding-charles-darwin
1207	6	0.9560895	c/c1a688d8.txt	https://onbeing.org/programs/james-martin-finding-god-in-all-things-2
1374	7	0.96215427	7/74864701.txt	https://onbeing.org/programs/james-smith-and-nancey-murphy-evangelicals-out-of-the-box
1355	7	0.9468635	9/9aab149b.txt	https://onbeing.org/programs/james-prosek-fishing-with-mystery
1051	6	0.96003807	8/8de58988.txt	https://onbeing.org/programs/jane-gross-the-far-shore-of-aging
1212	6	0.9372937	7/78978643.txt	https://onbeing.org/programs/jaroslav-pelikan-the-need-for-creeds
1324	7	0.9758308	6/685f8969.txt	https://onbeing.org/programs/janna-levin-mathematics-purpose-and-truth
1427	7	0.94533986	f/fd660dee.txt	https://onbeing.org/programs/jean-bethke-elshtain-john-paul-lederach-and-michael-orange-justice-and-a-just-war
1137	6	0.94635004	c/c476642e.txt	https://onbeing.org/programs/jean-berko-gleason-unfolding-language-unfolding-life
1125	6	0.95644444	9/9058b1de.txt	https://onbeing.org/programs/jean-vanier-the-wisdom-of-tenderness
1503	6	0.9627412	5/563cdd9e.txt	https://onbeing.org/programs/jelle-de-boer-and-ursula-goodenough-the-morality-of-nature
1229	6	0.9609439	2/2177f64.txt	https://onbeing.org/programs/jennifer-michael-hecht-suicide-and-hope-for-our-future-selves
1370	7	0.959854	d/dd83affb.txt	https://onbeing.org/programs/jim-bradley-michael-ruse-the-evolution-of-the-science-religion-debate
